Year,Description,Image Alt,Image Link
2023,The Aussie all-rounder played one of ODI’s greatest  innings!  - (Nov’ 23),LeGlennndary!,https://amul.com/files/hits/amul-hits-3411.jpg
2023,Our two batting superstars are level at 49 ODI centuries! - (Nov’ 23),Kohli matches Tondukar!,https://amul.com/files/hits/amul-hits-3410.jpg
2023,The latest meme to trend the internet… - (Nov’ 23),Just cooking like a wow!,https://amul.com/files/hits/amul-hits-3409.jpg
2023,India’s great opening bowler helps India reach the semis of WC 2023!  - (Nov’ 23),Shami- finals!,https://amul.com/files/hits/amul-hits-3408.jpg
2023,Tendulkar’s statue built at Wankhede Stadium!  - (Nov’ 23),Sachin wahan – khade -hai,https://amul.com/files/hits/amul-hits-3407.jpg
2023,New Zealand batsman of Indian origin excels with two centuries in WC 2023!- (Oct’ 23),Rachin for the stars!,https://amul.com/files/hits/amul-hits-3405.jpg
2023,Tribute to star actor/comedian! - (Oct’ 23),We Binged on your wit!,https://amul.com/files/hits/amul-hits-3406.jpg
2023,Air quality levels have reached alarming proportions!  - (Oct’ 23),Pollution is a foggone conclusion,https://amul.com/files/hits/amul-hits-3404.jpg
2023,Tribute to the legendary Indian spinner and captain! - (Oct’ 23),He was a top flight artiste,https://amul.com/files/hits/amul-hits-3403.jpg
2023,Tribute to our founder Shri Tribhuvandas Patel on his 120th birth anniversary! - (Oct’ 23),Unhone unity aur Unnati dono diya!,https://amul.com/files/hits/amul-hits-3402.jpg
2023,Wishing everyone a happy Durga Puja!  - (Oct’ 23),Pet pujo for all!,https://amul.com/files/hits/amul-hits-3401.jpg
2023,Waheeda Rehman wins Dadasaheb Phalke Award!  - (Oct’ 23),Aaj phir jeetne ki tamanna hai,https://amul.com/files/hits/amul-hits-3400.jpg
2023,Underdogs defeat WC 2019 winners! - (Oct’ 23),Afghanistun England!,https://amul.com/files/hits/amul-hits-3399.jpg
2023,Mumbai’s much loved landmark to close down for 7 years! - (Oct’ 23),Don’t hang these gardens !,https://amul.com/files/hits/amul-hits-3398.jpg
2023,India wins over 100 medals at Hangzhou Asian Games! - (Oct’ 23),Saulid show!,https://amul.com/files/hits/amul-hits-3397.jpg
2023,Amul is the sponsor of the Afghanistan cricket team!  - (Oct’ 23),Makhan ab sabko Kabul hai,https://amul.com/files/hits/amul-hits-3396.jpg
2023,Amul is the sponsor of the Sri Lankan cricket team!  - (Oct’ 23),Makhan for every lankan,https://amul.com/files/hits/amul-hits-3395.jpg
2023,Amul is the sponsor of the South African cricket team!  - (Oct’ 23),"Protea, cupda aur makhan",https://amul.com/files/hits/amul-hits-3394.jpg
2023,India’s shooters have excelled in Asian Games! - (Oct’ 23),Shooting stars shining bright,https://amul.com/files/hits/amul-hits-3393.jpg
2023,Tribute to Father of India’s Green Revolution! - (Sep’ 23),A giant in his field,https://amul.com/files/hits/amul-hits-3392.jpg
2023,SRK’s blockbuster hits magic figure of Rs1000 crores!- (Sep’ 23),Jawan thousand crores!,https://amul.com/files/hits/amul-hits-3390.jpg
2023,Indian dressage team wins first Asian Games gold! - (Sep’ 23),Hamare Goodsavaar!,https://amul.com/files/hits/amul-hits-3391.jpg
2023,Celebrating the legendary actor’s 100th birth anniversary today! - (Sep’ 23),Devegreen hero,https://amul.com/files/hits/amul-hits-3389.jpg
2023,Women’s Reservation Bill passed in Parliament! - (Sep’ 23),Always deserved to be reserved,https://amul.com/files/hits/amul-hits-3387.jpg
2023,Amul is the proud sponsor of the Indian continent for the Asian Games! - (Sep’ 23),Hangzou mein jeet ki aarzou,https://amul.com/files/hits/amul-hits-3388.jpg
2023,First Indian fast bowler to get four wickets in one over!  - (Sep’ 23),Sabka sir aaj ooncha hai!,https://amul.com/files/hits/amul-hits-3386.jpg
2023,Beloved BEST non-AC double deckers have been discontinued!  - (Sep’ 23),Bus. stop.,https://amul.com/files/hits/amul-hits-3385.jpg
2023,Sensex hits record levels! - (Sep’ 23),Bulls eye for Nifty!,https://amul.com/files/hits/amul-hits-3384.jpg
2023,19 year old American wins Ladies’ singles US Open Crown! - (Sep’ 23),Cup of coco?,https://amul.com/files/hits/amul-hits-3383.jpg
2023,Tribute to Dr. Kurien on his 11th death anniversary! - (Sep’ 23),He was more milk,https://amul.com/files/hits/amul-hits-3381.jpg
2023,The 2023 G20 Summit begins in New Delhi today… - (Sep’ 23),G bhar ke Khaaiye ji,https://amul.com/files/hits/amul-hits-3382.jpg
2023,Aditya L1 takes off towards the sun!  - (Sep’ 23),ISRO ka sanmaan!,https://amul.com/files/hits/amul-hits-3380.jpg
2023,Celebrating our 4 x 400 meters team at the World Athletics Championships! - (Aug’ 23),Really relay proud of you!,https://amul.com/files/hits/amul-hits-3379.jpg
2023,Neeraj Chopra wins India’s first ever gold at the World Athletics Championships! - (Aug’ 23),Javelwin,https://amul.com/files/hits/amul-hits-3378.jpeg
2023,Sprint sensation wins three golds at World Athletics Championships! - (Aug’ 23),Lyles ahead of ahead!,https://amul.com/files/hits/amul-hits-3377.jpg
2023,R. Praggnanandhaa’s mother contributes quietly to his success in chess!  - (Aug’ 23),Grand Ma aster!,https://amul.com/files/hits/amul-hits-3376.jpg
2023,Web series addresses many social issues!  - (Aug’ 23),Made in oven,https://amul.com/files/hits/amul-hits-3375.jpg
2023,Movie ‘JAILER’s’ box office success is unstoppable! - (Aug’ 23),Tu maskavalaya!,https://amul.com/files/hits/amul-hits-3374.jpg
2023,Legendary conductor Zubin Mehta to perform in Mumbai!  - (Aug’ 23),Har Zubin pe!,https://amul.com/files/hits/amul-hits-3373.jpg
2023,"Alia Bhatt make her Hollywood debut in action thriller, Heart of Stone!  - (Aug’ 23)",Wonder women!,https://amul.com/files/hits/amul-hits-3372.jpg
2023,MP’s flying kiss during Parliament speech sparks controversy!  - (Aug’ 23),Frying kiss!,https://amul.com/files/hits/amul-hits-3371.jpg
2023,Bollywood’s latest blockbuster! - (Aug’ 23),Bread aur butter ki prem kahaani,https://amul.com/files/hits/amul-hits-3370.jpg
2023,Legendary Italian goalkeeper hangs up his boots!  - (Aug’ 23),Gianluigi get the buffet-on,https://amul.com/files/hits/amul-hits-3369.jpg
2023,England's Bazball approach helps them win fifth test and draw the Ashes! - (Aug’ 23),Bazi jit liya!,https://amul.com/files/hits/amul-hits-3368.jpg
2023,Adventure-Comedy-Fantasy movie causes waves! - (July’ 23),Barbieque party!,https://amul.com/files/hits/amul-hits-3367.jpg
2023,Pop star Taylor Swift’s Eras tour set to break record in ticket sales! - (July’ 23),Want a Swift Snack,https://amul.com/files/hits/amul-hits-3366.jpg
2023,Twitter has a new logo! - (July’ 23),X-it of the bird?,https://amul.com/files/hits/amul-hits-3365.jpg
2023,Christopher Nolan’s war drama creates waves!  - (July’ 23),Oppen Yummier Butter!,https://amul.com/files/hits/amul-hits-3364.jpg
2023,The world celebrates Emoji Day today! - (July’ 23),"Laoji, chakoji, khaoji, emoji!",https://amul.com/files/hits/amul-hits-3362.jpg
2023,Wimbledon has a new champion! - (July’ 23),Alcagrass champ!,https://amul.com/files/hits/amul-hits-3363.jpg
2023,Latest in ‘Mission Impossible’ franchise hits the cinemas! - (July’ 23),Dishin possible. Bread beckoning,https://amul.com/files/hits/amul-hits-3360.jpg
2023,Chandrayaan 3 lifts off! - (July’ 23),Moon meetha karo!,https://amul.com/files/hits/amul-hits-3361.jpg
2023,Indian Badminton star wins Canada Open! - (July’ 23),Lakshya takes sen-ter stage!,https://amul.com/files/hits/amul-hits-3359.jpg
2023,Tomato prices have gone through the roof! - (July’ 23),"See yellow, not red",https://amul.com/files/hits/amul-hits-3357.jpg
2023,"Mark vs Musk, Twitter vs Threads! - (July’ 23)",Elon-e-jung!,https://amul.com/files/hits/amul-hits-3358.jpg
2023,India win SAFF Championships for a record 9th time!- (July’ 23),Our football’s in safe hands!,https://amul.com/files/hits/amul-hits-3356.jpg
2023,Amul unleashes White Revolution 2.0 in Andhra Pradesh! - (July’ 23),Andairy Pradesh!,https://amul.com/files/hits/amul-hits-3355.jpg
2023,Ashes and the run out controversy! - (July’ 23),Careless Bairstow or wicked keeper?,https://amul.com/files/hits/amul-hits-3354.jpg
2023,Former world champs fail to qualify for World Cup 2023!- (July’ 23),Gone with the windies!,https://amul.com/files/hits/amul-hits-3353.jpg
2023,Fifth and final instalment of blockbuster franchise releases in theatres!  - (July’ 23),"Yeh mera Indiana, Yeh mera Indiana!",https://amul.com/files/hits/amul-hits-3352.jpg
2023,"Tribute to the advertising legend, creator of the Amul girl… - (June’ 23)",Your ideas were utterly buttery delicious,https://amul.com/files/hits/amul-hits-3351.jpg
2023,Celebrating world yoga day!  - (June’ 23),From asanrise to asanset!,https://amul.com/files/hits/amul-hits-3350.jpg
2023,"Star doubles team Satwiksairaj Rankireddy and Chirag Shetty win Indonesian Open, first Indians to win a Super 1000 event!  - (June’ 23)",Buddyminton!,https://amul.com/files/hits/amul-hits-3349.jpg
2023,Max Park breaks Rubik’s Cube world record! - (June’ 23),Cubesoorat record!,https://amul.com/files/hits/amul-hits-3348.jpg
2023,Master manager leads Man City to a treble! - (June’ 23),Guardiola of honour!,https://amul.com/files/hits/amul-hits-3347.jpg
2023,Djokovic’s  French Open win makes him the winner of the most Grand Slams- 23!  - (June’ 23),He goat the most titles!,https://amul.com/files/hits/amul-hits-3346.jpg
2023,New augmented reality equipment that seamlessly blends the real from the digital world! - (June’ 23),"Ready, headset, go!",https://amul.com/files/hits/amul-hits-3345.jpg
2023,Zlatan Ibrahimovic retires from football!  - (June’ 23),Final kic for Ibrahimovic!,https://amul.com/files/hits/amul-hits-3344.jpg
2023,"Ukrainian soldiers dance to Oscar winning, ‘Naatu Naatu’!  - (June’ 23)",Say naa tu war!,https://amul.com/files/hits/amul-hits-3343.jpg
2023,Amul celebrates World Milk Day! - (June’ 23),Milk de sabko energy !,https://amul.com/files/hits/amul-hits-3341.jpg
2023,CSK win their 5th IPL title under MS Dhoni! - (June’ 23),Chennai skipper kings!,https://amul.com/files/hits/amul-hits-3342.jpg
2023,The new Sansad Bhavan! - (May’ 23),Powerliament!,https://amul.com/files/hits/amul-hits-3340.jpg
2023,Shubman’s scintillating batting takes Gujarat Titans to final!  - (May’ 23),Khilte hain gill yanaha!,https://amul.com/files/hits/amul-hits-3339.jpg
